기준년월,기초지자체,중분류,소비액(천원)
20220213,천안시 서북구,관광총소비,542152
20220214,천안시 서북구,관광총소비,450533
20220215,천안시 서북구,관광총소비,381316
20220216,천안시 서북구,관광총소비,424657
20220217,천안시 서북구,관광총소비,417975
20220218,천안시 서북구,관광총소비,533783
20220219,천안시 서북구,관광총소비,900268
20220220,천안시 서북구,관광총소비,832180
20220221,천안시 서북구,관광총소비,459617
20220222,천안시 서북구,관광총소비,467217
20220223,천안시 서북구,관광총소비,438727
20220224,천안시 서북구,관광총소비,481301
20220225,천안시 서북구,관광총소비,616499
20220226,천안시 서북구,관광총소비,919587
20220227,천안시 서북구,관광총소비,700662
20220228,천안시 서북구,관광총소비,581543
20220201,천안시 서북구,호텔,3130
20220201,천안시 서북구,기타숙박,6440
20220201,천안시 서북구,레저용품쇼핑,16964
20220201,천안시 서북구,대형쇼핑몰,99500
20220201,천안시 서북구,골프장,5015
20220201,천안시 서북구,기타레저,2986
20220201,천안시 서북구,문화서비스,4296
20220201,천안시 서북구,식음료,143840
20220202,천안시 서북구,호텔,959
20220202,천안시 서북구,기타숙박,9107
20220202,천안시 서북구,레저용품쇼핑,33977
20220202,천안시 서북구,대형쇼핑몰,260111
20220202,천안시 서북구,골프장,9966
20220202,천안시 서북구,기타레저,4073
20220202,천안시 서북구,문화서비스,4162
20220202,천안시 서북구,식음료,203129
20220202,천안시 서북구,관광기념품,22
20220203,천안시 서북구,호텔,1038
20220203,천안시 서북구,기타숙박,11556
20220203,천안시 서북구,레저용품쇼핑,29092
20220203,천안시 서북구,대형쇼핑몰,131416
20220203,천안시 서북구,골프장,10856
20220203,천안시 서북구,기타레저,3233
20220203,천안시 서북구,문화서비스,2462
20220203,천안시 서북구,식음료,202750
20220203,천안시 서북구,관광기념품,207
20220204,천안시 서북구,호텔,2009
20220204,천안시 서북구,기타숙박,13158
20220204,천안시 서북구,레저용품쇼핑,28555
20220204,천안시 서북구,대형쇼핑몰,131593
