기준년월,기초지자체,방문자 구분,방문자 수
2022-01-18,천안시 서북구,외국인방문자(c),198.0
2022-01-18,천안시 서북구,외부방문자(b+c),86676.0
2022-01-18,천안시 서북구,외지인방문자(b),86478.0
2022-01-18,천안시 서북구,전체방문자(a+b+c),214824.0
2022-01-18,천안시 서북구,현지인방문자(a),128149.0
2022-01-19,천안시 동남구,외국인방문자(c),63.0
2022-01-19,천안시 동남구,외부방문자(b+c),89646.0
2022-01-19,천안시 동남구,외지인방문자(b),89582.0
2022-01-19,천안시 동남구,전체방문자(a+b+c),212457.0
2022-01-19,천안시 동남구,현지인방문자(a),122812.0
2022-01-19,천안시 서북구,외국인방문자(c),212.0
2022-01-19,천안시 서북구,외부방문자(b+c),85234.0
2022-01-19,천안시 서북구,외지인방문자(b),85022.0
2022-01-19,천안시 서북구,전체방문자(a+b+c),213586.0
2022-01-19,천안시 서북구,현지인방문자(a),128352.0
2022-01-20,천안시 동남구,외국인방문자(c),58.0
2022-01-20,천안시 동남구,외부방문자(b+c),93449.0
2022-01-20,천안시 동남구,외지인방문자(b),93390.0
2022-01-20,천안시 동남구,전체방문자(a+b+c),217734.0
2022-01-20,천안시 동남구,현지인방문자(a),124285.0
2022-01-20,천안시 서북구,외국인방문자(c),173.0
2022-01-20,천안시 서북구,외부방문자(b+c),89962.0
2022-01-20,천안시 서북구,외지인방문자(b),89789.0
2022-01-20,천안시 서북구,전체방문자(a+b+c),219326.0
2022-01-20,천안시 서북구,현지인방문자(a),129364.0
2022-01-21,천안시 동남구,외국인방문자(c),37.0
2022-01-21,천안시 동남구,외부방문자(b+c),105041.0
2022-01-21,천안시 동남구,외지인방문자(b),105004.0
2022-01-21,천안시 동남구,전체방문자(a+b+c),232717.0
2022-01-21,천안시 동남구,현지인방문자(a),127676.0
2022-01-21,천안시 서북구,외국인방문자(c),93.0
2022-01-21,천안시 서북구,외부방문자(b+c),99658.0
2022-01-21,천안시 서북구,외지인방문자(b),99564.0
2022-01-21,천안시 서북구,전체방문자(a+b+c),231419.0
2022-01-21,천안시 서북구,현지인방문자(a),131761.0
2022-01-22,천안시 동남구,외국인방문자(c),20.0
2022-01-22,천안시 동남구,외부방문자(b+c),126317.0
2022-01-22,천안시 동남구,외지인방문자(b),126298.0
2022-01-22,천안시 동남구,전체방문자(a+b+c),243056.0
2022-01-22,천안시 동남구,현지인방문자(a),116739.0
2022-01-22,천안시 서북구,외국인방문자(c),25.0
2022-01-22,천안시 서북구,외부방문자(b+c),116690.0
2022-01-22,천안시 서북구,외지인방문자(b),116666.0
2022-01-22,천안시 서북구,전체방문자(a+b+c),239127.0
2022-01-22,천안시 서북구,현지인방문자(a),122437.0
2022-01-23,천안시 동남구,외국인방문자(c),13.0
2022-01-23,천안시 동남구,외부방문자(b+c),114158.0
2022-01-23,천안시 동남구,외지인방문자(b),114146.0
2022-01-23,천안시 동남구,전체방문자(a+b+c),226456.0
2022-01-23,천안시 동남구,현지인방문자(a),112298.0
2022-01-23,천안시 서북구,외국인방문자(c),23.0
2022-01-23,천안시 서북구,외부방문자(b+c),90733.0
2022-01-23,천안시 서북구,외지인방문자(b),90710.0
2022-01-23,천안시 서북구,전체방문자(a+b+c),204199.0
2022-01-23,천안시 서북구,현지인방문자(a),113466.0
2022-01-24,천안시 동남구,외국인방문자(c),15.0
2022-01-24,천안시 동남구,외부방문자(b+c),95978.0
2022-01-24,천안시 동남구,외지인방문자(b),95963.0
2022-01-24,천안시 동남구,전체방문자(a+b+c),220792.0
2022-01-24,천안시 동남구,현지인방문자(a),124814.0
2022-01-24,천안시 서북구,외국인방문자(c),22.0
2022-01-24,천안시 서북구,외부방문자(b+c),91253.0
2022-01-24,천안시 서북구,외지인방문자(b),91231.0
2022-01-24,천안시 서북구,전체방문자(a+b+c),220827.0
2022-01-24,천안시 서북구,현지인방문자(a),129574.0
2022-01-25,천안시 동남구,외국인방문자(c),13.0
2022-01-25,천안시 동남구,외부방문자(b+c),95210.0
2022-01-25,천안시 동남구,외지인방문자(b),95196.0
2022-01-25,천안시 동남구,전체방문자(a+b+c),217857.0
2022-01-25,천안시 동남구,현지인방문자(a),122647.0
2022-01-25,천안시 서북구,외국인방문자(c),22.0
2022-01-25,천안시 서북구,외부방문자(b+c),92317.0
2022-01-25,천안시 서북구,외지인방문자(b),92295.0
2022-01-25,천안시 서북구,전체방문자(a+b+c),219965.0
2022-01-25,천안시 서북구,현지인방문자(a),127648.0
2022-01-26,천안시 동남구,외국인방문자(c),16.0
2022-01-26,천안시 동남구,외부방문자(b+c),99815.0
2022-01-26,천안시 동남구,외지인방문자(b),99799.0
2022-01-26,천안시 동남구,전체방문자(a+b+c),226561.0
2022-01-26,천안시 동남구,현지인방문자(a),126746.0
2022-01-26,천안시 서북구,외국인방문자(c),27.0
2022-01-26,천안시 서북구,외부방문자(b+c),97624.0
2022-01-26,천안시 서북구,외지인방문자(b),97598.0
2022-01-26,천안시 서북구,전체방문자(a+b+c),229490.0
2022-01-26,천안시 서북구,현지인방문자(a),131866.0
2022-01-27,천안시 동남구,외국인방문자(c),16.0
2022-01-27,천안시 동남구,외부방문자(b+c),101656.0
