정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,Coordinates,Within 1km
CAB285001561,가산1리,36.93694337,127.19474104,2023-10-16,1561.0,34010,충청남도 천안시,천안,"(36.93694337, 127.19474104)",No
CAB285001562,연곡1리(연봉입구),36.9564564,127.1815659,2023-10-16,1562.0,34010,충청남도 천안시,천안,"(36.9564564, 127.1815659)",No
CAB285001563,연곡1리(연봉입구),36.9565287,127.1816218,2023-10-16,1563.0,34010,충청남도 천안시,천안,"(36.9565287, 127.1816218)",No
CAB285001564,수향2리(무내),36.94628237,127.14933766,2023-10-16,1564.0,34010,충청남도 천안시,천안,"(36.94628237, 127.14933766)",No
CAB285001565,성환10리,36.92068658,127.12880428,2023-10-16,1565.0,34010,충청남도 천안시,천안,"(36.92068658, 127.12880428)",No
CAB285001566,성환10리,36.92048793,127.12899965,2023-10-16,1566.0,34010,충청남도 천안시,천안,"(36.92048793, 127.12899965)",No
CAB285001567,신가2리,36.9514765,127.1142589,2023-10-16,1567.0,34010,충청남도 천안시,천안,"(36.9514765, 127.1142589)",No
CAB285001568,신가2리,36.95139439,127.11426881,2023-10-16,1568.0,34010,충청남도 천안시,천안,"(36.95139439, 127.11426881)",No
CAB285001569,와룡1리,36.9514031,127.104291,2023-10-16,1569.0,34010,충청남도 천안시,천안,"(36.9514031, 127.104291)",No
CAB285001570,와룡1리,36.9514665,127.1043806,2023-10-16,1570.0,34010,충청남도 천안시,천안,"(36.9514665, 127.1043806)",No
CAB285001571,와룡리입구,36.9518539,127.112516,2023-10-16,1571.0,34010,충청남도 천안시,천안,"(36.9518539, 127.112516)",No
CAB285001572,와룡리입구,36.9519089,127.1127909,2023-10-16,1572.0,34010,충청남도 천안시,천안,"(36.9519089, 127.1127909)",No
CAB285001573,홍익주유소,36.8804012,127.12219296,2023-10-16,1573.0,34010,충청남도 천안시,천안,"(36.8804012, 127.12219296)",No
CAB285001574,차암2통,36.8400851,127.0995985,2023-10-16,1574.0,34010,충청남도 천안시,천안,"(36.8400851, 127.0995985)",No
CAB285001575,동산2리,36.8273469,127.0745409,2023-10-16,1575.0,34010,충청남도 천안시,천안,"(36.8273469, 127.0745409)",No
CAB285001580,광덕1리,36.67219695,127.04540372,2023-10-16,1580.0,34010,충청남도 천안시,천안,"(36.67219695, 127.04540372)",No
CAB285001585,구룡1통,36.7636662,127.1549287,2023-10-16,1585.0,34010,충청남도 천안시,천안,"(36.7636662, 127.1549287)",No
CAB285001587,구성5통,36.79237965,127.17348574,2023-10-16,1587.0,34010,충청남도 천안시,천안,"(36.79237965, 127.17348574)",Yes
CAB285001588,신성미소지움아파트,36.79281465,127.16488075,2023-10-16,1588.0,34010,충청남도 천안시,천안,"(36.79281465, 127.16488075)",Yes
CAB285001589,삼룡교,36.7978865,127.1594619,2023-10-16,1589.0,34010,충청남도 천안시,천안,"(36.7978865, 127.1594619)",Yes
CAB285001590,영성로,36.7984753,127.1508314,2023-10-16,1590.0,34010,충청남도 천안시,천안,"(36.7984753, 127.1508314)",No
CAB285001591,동남구보건소,36.8083113,127.1505244,2023-10-16,1591.0,34010,충청남도 천안시,천안,"(36.8083113, 127.1505244)",No
CAB285001592,동말,36.81122794,127.16796241,2023-10-16,1592.0,34010,충청남도 천안시,천안,"(36.81122794, 127.16796241)",No
CAB285001593,동말,36.81106469,127.16789285,2023-10-16,1593.0,34010,충청남도 천안시,천안,"(36.81106469, 127.16789285)",No
CAB285001594,안서동보아파트,36.8309613,127.17799908,2023-10-16,1594.0,34010,충청남도 천안시,천안,"(36.8309613, 127.17799908)",No
CAB285001595,단국대치대병원,36.83703799,127.17435407,2023-10-16,1595.0,34010,충청남도 천안시,천안,"(36.83703799, 127.17435407)",No
CAB285001596,백석문화대,36.83963095,127.17926071,2023-10-16,1596.0,34010,충청남도 천안시,천안,"(36.83963095, 127.17926071)",No
CAB285001597,백석대목양관,36.84120464,127.18280559,2023-10-16,1597.0,34010,충청남도 천안시,천안,"(36.84120464, 127.18280559)",No
CAB285001598,백석대학교(운동장),36.84076694,127.18530613,2023-10-16,1598.0,34010,충청남도 천안시,천안,"(36.84076694, 127.18530613)",No
CAB285001599,부성1동행정복지센터,36.84380965,127.15411075,2023-10-16,1599.0,34010,충청남도 천안시,천안,"(36.84380965, 127.15411075)",No
CAB285001600,신당고등학교,36.85169318,127.15828336,2023-10-16,1600.0,34010,충청남도 천안시,천안,"(36.85169318, 127.15828336)",No
CAB285001601,신당고등학교,36.85185128,127.15863908,2023-10-16,1601.0,34010,충청남도 천안시,천안,"(36.85185128, 127.15863908)",No
CAB285001602,롯데푸드,36.84984025,127.1179884,2023-10-16,1602.0,34010,충청남도 천안시,천안,"(36.84984025, 127.1179884)",No
CAB285001603,롯데푸드,36.84999461,127.11811408,2023-10-16,1603.0,34010,충청남도 천안시,천안,"(36.84999461, 127.11811408)",No
CAB285001604,차암1통,36.85232086,127.1152517,2023-10-16,1604.0,34010,충청남도 천안시,천안,"(36.85232086, 127.1152517)",No
CAB285001605,성정중학교,36.830418,127.1367349,2023-10-16,1605.0,34010,충청남도 천안시,천안,"(36.830418, 127.1367349)",No
CAB285001606,충남직업전문학교,36.81485298,127.13479407,2023-10-16,1606.0,34010,충청남도 천안시,천안,"(36.81485298, 127.13479407)",No
CAB285001609,광풍중학교,36.71450298,127.11786907,2023-10-16,1609.0,34010,충청남도 천안시,천안,"(36.71450298, 127.11786907)",No
CAB285001610,소사리,36.7352547,127.1716401,2023-10-16,1610.0,34010,충청남도 천안시,천안,"(36.7352547, 127.1716401)",No
CAB285001612,성환역,36.91556296,127.12817074,2023-10-16,1612.0,34010,충청남도 천안시,천안,"(36.91556296, 127.12817074)",No
CAB285001614,신흥마을,36.7788325,127.1177548,2023-10-16,1614.0,34010,충청남도 천안시,천안,"(36.7788325, 127.1177548)",No
CAB285001615,휴대1리,36.77449663,127.11895928,2023-10-16,1615.0,34010,충청남도 천안시,천안,"(36.77449663, 127.11895928)",No
CAB285001617,남관리(농협),36.753097,127.1273265,2023-10-16,1617.0,34010,충청남도 천안시,천안,"(36.753097, 127.1273265)",No
CAB285001618,풍세면행정복지센터,36.7223251,127.1193676,2023-10-16,1618.0,34010,충청남도 천안시,천안,"(36.7223251, 127.1193676)",No
CAB285001619,미죽2리마을회관,36.7436172,127.1586388,2023-10-16,1619.0,34010,충청남도 천안시,천안,"(36.7436172, 127.1586388)",No
CAB285001620,도장리,36.7468946,127.1799135,2023-10-16,1620.0,34010,충청남도 천안시,천안,"(36.7468946, 127.1799135)",No
CAB285000509,신광교회,36.78943155,127.2345631,2023-10-16,509.0,34010,충청남도 천안시,천안,"(36.78943155, 127.2345631)",No
CAB285000510,노루목,36.77117873,127.2478347,2023-10-16,510.0,34010,충청남도 천안시,천안,"(36.77117873, 127.2478347)",No
CAB285000511,노루목,36.77138629,127.24781241,2023-10-16,511.0,34010,충청남도 천안시,천안,"(36.77138629, 127.24781241)",No
CAB285000512,동평3리,36.77533628,127.24330908,2023-10-16,512.0,34010,충청남도 천안시,천안,"(36.77533628, 127.24330908)",No
CAB285000513,동평2리,36.77700629,127.24254574,2023-10-16,513.0,34010,충청남도 천안시,천안,"(36.77700629, 127.24254574)",No
CAB285000514,동평2리,36.7770241,127.24237734,2023-10-16,514.0,34010,충청남도 천안시,천안,"(36.7770241, 127.24237734)",No
CAB285000515,동리입구,36.7809388,127.2401916,2023-10-16,515.0,34010,충청남도 천안시,천안,"(36.7809388, 127.2401916)",No
CAB285000516,동리,36.78096123,127.24034084,2023-10-16,516.0,34010,충청남도 천안시,천안,"(36.78096123, 127.24034084)",No
CAB285000517,목천농협,36.784418,127.2358572,2023-10-16,517.0,34010,충청남도 천안시,천안,"(36.784418, 127.2358572)",No
CAB285000518,"목천읍행정복지센터,국립청소년수련원",36.78428611,127.2353478,2023-10-16,518.0,34010,충청남도 천안시,천안,"(36.78428611, 127.2353478)",No
CAB285000519,목천중고등학교,36.7811446,127.23358241,2023-10-16,519.0,34010,충청남도 천안시,천안,"(36.7811446, 127.23358241)",No
CAB285000520,독립기념관 동문,36.78034187,127.2328387,2023-10-16,520.0,34010,충청남도 천안시,천안,"(36.78034187, 127.2328387)",No
CAB285000521,독립기념관 동문,36.77989207,127.23254131,2023-10-16,521.0,34010,충청남도 천안시,천안,"(36.77989207, 127.23254131)",No
CAB285000522,동평1리,36.77482295,127.23542407,2023-10-16,522.0,34010,충청남도 천안시,천안,"(36.77482295, 127.23542407)",No
CAB285000523,동평1리,36.77430796,127.23511074,2023-10-16,523.0,34010,충청남도 천안시,천안,"(36.77430796, 127.23511074)",No
CAB285000524,목천IC,36.77051463,127.23300074,2023-10-16,524.0,34010,충청남도 천안시,천안,"(36.77051463, 127.23300074)",No
CAB285000525,목천IC,36.77032796,127.23316574,2023-10-16,525.0,34010,충청남도 천안시,천안,"(36.77032796, 127.23316574)",No
CAB285000526,직산역입구,36.87152298,127.14784407,2023-10-16,527.0,34010,충청남도 천안시,천안,"(36.87152298, 127.14784407)",No
